queue_length,token_position,active_counters,avg_processing_time_min,centre_workload_pct,hour_of_day,day_of_week,crop_factor,quantity_quintals,historical_avg_wait_min,actual_wait_minutes
52,16,1,8.3,43.5,16,1,1.05,77.2,42.6,139.2
57,13,2,6.7,58.8,8,1,1.25,42.3,49.4,58.5
3,3,4,8.5,81.7,15,1,0.9,20.3,51.2,11.5
37,9,3,11.2,95.0,12,0,1.1,19.5,41.2,45.3
51,14,1,7.8,54.2,15,1,1.4,104.7,32.5,146.9
7,5,3,6.4,52.5,14,5,1.25,54.7,44.4,17.3
21,21,4,8.4,92.4,16,0,1.25,69.4,33.6,56.1
9,9,5,8.7,60.5,9,5,1.0,112.2,46.5,23.4
39,7,5,6.6,95.5,16,0,1.4,34.4,40.0,20.0
18,15,3,5.4,109.5,17,5,0.95,92.9,54.4,36.8
4,3,2,6.6,108.4,12,1,1.25,59.1,28.3,18.5
25,6,2,7.9,83.0,12,2,0.9,29.5,50.6,24.6
14,2,4,7.3,60.0,8,0,1.4,103.1,49.4,6.9
50,41,6,9.6,35.2,13,1,0.9,83.2,39.1,74.2
58,22,3,8.8,89.0,17,3,1.0,15.9,50.8,74.4
9,8,3,8.2,108.2,17,3,1.0,67.3,47.0,30.9
26,17,3,5.4,35.4,17,4,1.1,103.0,50.0,38.9
53,37,3,8.9,30.5,17,0,0.9,12.7,49.2,101.9
2,2,2,11.0,96.5,10,0,1.05,52.9,42.6,12.6
20,1,3,9.3,38.2,17,5,0.9,97.6,34.8,5.5
28,10,1,7.0,36.5,10,3,1.0,103.7,34.7,79.4
47,43,2,7.8,102.8,10,0,0.95,94.2,39.4,192.5
7,6,4,8.7,36.4,11,0,1.05,40.2,52.1,20.6
44,8,1,10.1,39.1,16,3,0.9,63.3,49.6,70.6
8,8,2,6.9,75.6,15,1,1.4,90.2,54.1,44.0
47,25,2,7.3,90.5,13,5,0.95,22.5,55.3,105.8
35,12,5,7.9,62.0,15,3,1.1,73.4,39.4,28.8
14,9,4,7.8,63.6,15,2,1.1,87.8,65.5,22.7
17,17,1,9.2,80.6,8,3,1.4,102.7,40.8,209.5
36,26,3,8.4,70.4,16,5,1.25,17.8,36.1,88.4
50,46,2,5.9,31.5,8,3,1.35,42.9,46.0,188.3
40,14,3,7.0,39.1,9,5,1.05,67.3,47.8,37.6
4,1,4,7.1,76.5,16,1,1.05,85.6,33.1,10.1
2,2,5,4.7,93.5,14,3,0.9,89.0,40.1,8.7
6,1,3,9.4,91.0,17,3,1.35,34.1,36.6,7.6
54,23,6,8.2,89.2,8,1,1.35,6.6,43.7,46.0
42,6,6,7.2,91.7,10,3,1.25,84.8,51.6,15.1
4,3,5,9.4,33.6,8,1,1.25,109.5,38.8,15.2
54,5,3,8.5,101.6,12,2,0.9,96.7,48.9,21.2
29,11,3,6.1,101.1,11,1,0.95,76.6,25.3,31.0
18,18,3,8.9,72.6,15,0,0.95,117.4,52.7,58.6
26,13,1,10.1,49.9,16,0,1.35,54.8,36.6,171.8
44,43,2,7.8,77.4,11,5,1.05,65.4,36.3,206.2
34,14,4,7.9,74.6,10,1,1.35,6.4,46.8,40.7
10,2,3,8.2,47.8,11,3,1.0,113.8,47.4,10.7
36,28,5,6.2,78.3,10,4,0.95,72.1,40.7,45.9
14,3,2,8.2,93.8,13,4,0.95,49.9,31.3,22.7
31,24,2,6.7,94.5,8,2,0.95,10.1,36.2,82.8
48,27,4,8.0,34.8,9,2,0.9,46.7,43.1,52.5
15,15,3,8.2,45.8,15,4,1.0,5.4,47.9,40.2
8,1,2,8.8,83.5,10,4,1.4,42.3,32.1,11.1
14,8,6,8.9,98.8,11,1,1.0,114.4,34.3,24.1
23,20,4,6.6,71.7,8,4,1.25,22.7,45.2,43.8
57,28,3,8.3,86.6,10,0,1.25,67.7,41.0,115.1
40,33,4,9.4,31.7,8,2,0.95,26.5,43.8,74.5
21,4,4,6.3,78.7,17,5,1.25,95.1,10.6,16.6
16,14,4,10.6,107.0,12,2,1.35,69.7,38.5,69.0
45,34,4,6.5,82.9,8,0,1.05,28.3,52.2,66.6
18,16,2,10.4,103.8,16,2,1.35,104.6,34.6,120.4
47,3,3,6.6,75.3,14,4,1.05,95.2,47.8,12.0
53,26,1,7.9,97.5,15,2,1.0,114.4,27.5,210.5
24,8,1,7.7,39.9,16,0,1.25,5.1,23.2,74.4
26,6,5,5.9,39.9,17,2,1.1,57.6,47.0,16.2
25,16,3,9.0,39.6,15,5,0.9,120.0,41.3,51.5
45,24,4,9.1,69.1,10,5,1.25,98.3,38.0,84.2
41,39,4,8.9,56.4,14,5,1.05,100.6,52.2,95.1
29,13,5,7.6,87.5,14,5,1.0,76.4,38.3,30.8
15,13,5,6.9,102.2,14,4,1.25,87.0,34.4,31.9
45,5,3,9.6,79.5,15,5,1.35,97.6,33.1,28.7
1,1,3,8.3,47.1,11,5,1.0,15.6,30.6,11.3
25,25,2,6.9,104.5,13,1,1.35,84.6,47.6,141.8
7,4,3,8.3,72.2,9,5,0.95,98.8,38.3,19.1
9,6,3,5.5,87.6,14,4,0.9,9.7,55.7,10.2
24,18,3,8.2,101.2,16,5,1.0,39.2,10.0,53.9
1,1,4,9.0,109.2,12,2,0.9,42.3,53.1,14.7
44,18,6,7.7,70.5,11,5,1.25,103.3,46.3,38.5
8,2,4,9.1,94.6,9,3,1.35,94.7,40.9,9.1
24,10,3,9.2,75.3,14,2,1.05,80.5,26.5,32.8
11,7,3,8.4,68.9,9,5,1.1,97.5,22.1,26.2
51,45,1,10.7,73.0,9,5,1.25,57.1,51.0,592.6
17,15,2,10.0,68.7,16,2,0.9,105.6,44.9,74.1
8,7,4,8.9,63.7,9,0,0.95,31.9,44.7,16.6
35,12,2,8.5,87.9,17,3,1.05,86.0,40.8,60.8
35,13,4,7.6,50.0,10,0,1.4,32.8,52.2,40.1
33,11,3,7.0,79.3,10,5,1.4,9.6,35.0,39.0
59,19,2,9.2,87.0,9,0,0.95,37.7,38.0,85.6
5,3,2,7.7,101.4,17,4,1.4,61.7,39.9,21.2
42,39,3,6.5,56.6,10,1,1.35,102.0,39.4,137.2
39,26,3,6.8,98.8,16,2,1.25,63.5,58.0,77.6
58,46,4,7.0,105.6,10,3,1.0,25.6,26.9,101.2
41,14,4,10.6,81.9,12,2,1.1,119.2,18.5,48.1
28,22,3,9.3,91.7,14,0,1.05,36.1,24.6,69.6
7,5,4,8.1,62.5,8,1,1.1,118.3,50.2,22.0
9,8,3,8.6,106.2,8,0,1.05,112.7,40.8,36.3
8,1,6,8.8,83.7,17,2,1.35,67.4,22.8,7.6
12,1,2,6.7,54.8,9,4,1.25,15.6,43.2,1.0
34,22,4,6.2,62.3,8,2,0.9,85.0,38.1,36.4
33,23,3,9.6,79.4,8,0,1.25,102.3,48.7,97.3
48,19,2,6.0,48.7,17,3,1.4,56.2,51.5,81.4
55,18,2,8.0,90.3,11,3,0.95,32.5,72.2,84.3
23,12,3,6.9,48.0,17,3,0.9,97.3,27.8,32.7
24,23,2,8.3,77.3,10,3,1.1,67.7,19.6,121.2
37,28,2,7.6,85.8,8,3,0.95,27.7,49.1,99.8
35,28,6,8.8,98.8,10,5,1.25,114.2,53.8,69.9
44,33,4,4.5,88.7,8,1,1.0,114.0,26.7,46.9
40,19,4,9.7,93.9,10,1,1.0,47.2,26.7,59.9
22,20,4,9.1,103.0,11,4,1.35,12.4,46.1,79.3
27,17,6,9.5,77.8,15,3,1.1,77.5,62.6,36.9
35,26,3,9.3,97.7,10,0,0.9,41.5,31.5,89.5
1,1,2,8.5,48.5,10,0,0.95,12.6,43.0,6.6
35,35,5,7.0,95.2,16,2,1.4,107.6,19.2,79.8
37,34,4,8.7,47.7,16,3,1.0,119.8,39.6,81.8
47,35,3,8.4,104.8,13,0,1.0,45.3,40.6,120.6
14,8,3,9.3,56.4,17,5,1.25,90.6,59.6,37.7
3,2,3,8.9,43.7,11,4,1.05,12.6,33.5,8.5
1,1,5,8.1,41.9,17,0,1.35,47.5,50.2,5.8
5,5,3,8.6,45.0,12,5,1.1,17.5,32.7,20.1
26,23,6,8.8,65.8,16,5,1.0,11.4,43.1,35.9
55,54,5,9.6,71.8,8,4,1.25,72.7,66.9,135.2
14,6,3,10.6,103.1,14,3,0.9,97.2,63.5,25.3
39,16,3,8.9,60.5,14,2,1.05,57.1,65.5,56.5
27,16,3,8.8,47.4,17,2,1.0,65.3,46.8,52.0
9,3,1,7.7,89.5,8,1,1.35,36.1,39.5,29.0
15,12,2,7.5,40.8,8,3,0.95,89.7,45.4,48.4
15,13,4,6.9,101.4,16,0,1.1,46.5,47.6,30.3
26,14,3,4.0,62.8,14,2,1.25,12.8,46.7,29.7
42,8,2,6.7,79.1,11,5,0.9,24.0,33.5,29.7
13,12,2,7.7,44.9,16,4,1.25,19.8,33.0,57.8
51,22,5,7.5,41.6,12,5,1.4,55.1,34.8,58.8
32,21,3,8.7,93.9,10,4,1.1,12.5,54.8,79.5
39,26,5,6.8,64.4,9,0,1.1,97.7,56.1,52.1
49,40,3,6.9,108.9,16,0,1.05,109.4,80.2,108.3
52,21,3,4.8,71.9,11,3,1.0,33.6,47.1,42.2
32,25,1,8.7,97.7,14,0,1.05,60.8,32.5,233.5
4,1,3,6.7,108.4,8,0,1.25,64.7,36.3,8.1
30,1,3,6.9,52.5,16,0,0.9,118.3,40.1,7.4
37,6,2,8.8,94.1,16,2,0.95,12.5,60.1,25.3
23,23,3,6.7,31.8,17,3,1.0,81.8,50.8,56.9
39,23,3,8.6,84.4,13,0,1.1,44.8,25.8,87.3
45,43,4,6.2,89.6,13,0,1.25,62.7,41.3,102.0
15,11,4,8.0,68.2,13,5,0.95,30.0,24.3,29.0
43,23,3,7.1,43.0,12,5,0.9,23.4,49.1,61.1
29,13,3,7.6,79.3,8,4,1.05,33.0,33.5,38.1
36,18,6,10.3,101.8,11,2,0.95,13.2,34.7,42.7
13,7,5,5.5,104.5,17,0,1.1,37.0,19.5,13.5
32,15,6,10.1,89.7,8,2,1.35,84.4,51.1,33.5
7,1,3,6.6,51.1,12,3,0.9,79.9,56.5,9.8
59,21,4,9.3,99.6,11,3,1.05,68.8,33.7,65.4
51,39,3,9.6,101.1,15,5,1.25,5.0,40.1,162.3
22,13,2,8.6,59.4,8,1,0.9,19.5,36.2,54.7
28,12,4,6.2,44.6,15,4,1.0,101.9,39.4,26.8
2,2,4,8.4,100.0,15,1,1.0,36.2,32.2,9.9
42,24,2,11.8,100.8,8,2,1.35,109.9,28.8,196.7
45,40,2,8.0,38.1,16,4,1.25,105.6,58.4,202.8
57,51,4,7.8,107.4,16,5,1.05,22.8,10.3,113.2
53,42,2,7.7,72.6,13,0,1.1,108.3,48.0,207.4
6,2,2,8.8,109.5,8,5,1.4,77.2,45.4,19.5
28,16,3,7.9,65.6,14,5,1.4,77.5,61.8,62.3
28,20,2,8.4,72.7,14,4,1.4,103.1,39.2,122.9
44,27,5,7.6,51.3,16,4,1.1,51.6,37.5,51.5
44,6,3,6.4,101.9,8,3,1.35,89.6,32.3,24.3
20,9,3,11.5,65.5,15,1,0.95,81.8,46.3,35.9
30,21,5,7.9,95.2,15,3,1.0,93.7,33.5,37.7
11,9,3,12.8,36.4,14,3,1.0,80.9,28.5,37.2
58,31,3,8.6,93.1,13,1,1.05,14.2,33.2,112.3
55,21,4,8.9,69.2,8,3,1.05,38.7,30.6,52.5
28,26,3,7.5,30.4,17,4,1.0,113.1,29.9,68.3
25,8,3,7.1,48.1,15,2,1.05,30.7,43.0,24.8
39,13,4,7.6,45.5,12,0,1.25,59.3,39.7,38.2
33,23,4,6.8,90.1,11,0,1.05,46.0,48.6,51.6
1,1,4,6.6,68.2,12,3,1.0,14.9,43.8,1.8
57,20,6,10.7,42.8,12,1,0.95,25.8,27.6,44.5
27,5,4,9.2,50.5,17,4,1.05,38.0,16.5,16.5
57,54,4,10.2,70.3,10,3,1.0,58.3,29.3,164.7
52,28,5,9.7,31.6,11,4,1.0,105.6,51.2,67.5
13,1,1,7.1,63.9,11,4,1.35,64.3,50.9,8.1
41,28,3,5.7,84.2,15,5,1.35,80.0,53.8,73.4
3,1,4,7.3,71.4,12,0,1.4,54.0,52.1,12.9
39,2,3,8.1,77.8,13,2,0.9,105.1,55.0,12.2
6,1,2,9.7,56.1,17,2,1.0,81.2,46.9,12.2
8,2,3,7.9,44.6,9,1,0.9,15.4,63.6,6.7
27,18,3,12.4,94.8,16,2,1.05,59.9,45.5,80.0
9,9,3,7.4,102.5,15,3,1.35,100.1,66.0,36.7
37,6,4,8.9,70.9,15,0,1.0,89.4,34.5,19.1
33,11,5,7.1,54.4,17,0,1.4,109.1,34.2,28.1
51,38,4,8.6,70.9,12,4,0.95,31.2,39.7,97.9
42,6,4,7.8,100.3,12,3,1.4,117.4,41.6,24.8
44,11,3,7.6,85.3,10,3,0.95,37.8,38.1,32.8
24,14,3,7.1,98.7,9,4,1.05,10.8,48.5,40.6
15,2,3,8.2,56.3,16,5,1.05,62.0,40.8,6.4
59,40,3,9.3,87.0,13,5,1.05,17.7,34.7,150.4
54,3,2,6.5,82.2,15,4,0.9,83.4,37.2,14.2
32,23,3,7.9,75.7,11,0,1.35,108.6,56.6,99.8
32,21,4,8.7,72.3,12,3,1.35,111.0,45.8,77.2
24,3,3,9.0,74.1,17,2,1.4,74.8,21.9,21.2
41,33,6,10.8,98.0,12,2,0.95,66.6,60.1,70.3
52,24,3,8.9,103.3,17,0,1.35,119.3,47.2,102.1
49,19,2,7.4,39.0,11,2,1.25,71.6,49.7,105.0
49,18,3,7.1,75.5,9,2,1.1,111.7,53.1,53.6
58,49,4,7.1,103.5,13,3,1.35,110.4,53.8,145.6
52,52,3,7.0,40.8,11,3,1.1,38.3,31.0,154.6
12,8,2,8.3,63.0,11,1,1.05,6.6,29.2,44.3
39,35,3,8.6,37.1,17,3,1.0,55.5,70.8,106.2
2,2,5,9.2,39.1,10,1,1.4,104.1,33.6,7.4
3,1,3,9.0,102.3,15,5,1.1,101.2,46.5,12.9
49,36,5,9.9,65.7,13,3,0.9,74.4,61.6,76.5
37,25,4,7.0,85.1,16,4,0.9,23.0,36.7,45.8
49,45,2,10.5,41.1,12,3,1.05,17.4,37.7,279.7
56,49,4,7.1,31.8,13,1,0.9,114.8,53.1,98.7
17,11,3,8.5,101.2,16,2,1.0,53.5,44.6,35.4
59,34,2,7.7,76.0,11,3,0.95,79.5,47.9,144.4
49,25,4,8.0,31.6,17,2,1.1,109.2,41.0,61.4
2,2,4,9.0,109.4,14,2,1.1,105.0,35.7,14.2
2,2,2,5.8,69.4,17,3,1.1,70.2,38.0,9.5
28,19,5,6.8,68.1,17,3,0.9,61.1,56.3,25.5
54,23,4,9.1,79.7,13,4,1.05,89.6,38.5,67.9
23,19,5,8.0,30.6,13,5,0.9,45.2,47.1,38.9
37,25,3,7.6,75.5,13,1,1.0,76.9,30.4,82.6
32,16,5,6.3,80.4,11,3,1.05,7.7,66.5,28.8
33,9,3,7.6,53.8,17,2,1.25,99.8,45.8,35.4
1,1,2,9.0,88.1,13,2,1.1,119.8,46.1,4.4
19,1,4,7.2,60.2,14,3,1.0,114.8,53.1,8.5
2,2,4,10.0,87.4,9,1,0.9,46.4,36.2,7.6
53,19,3,9.6,41.5,16,5,1.25,66.1,56.3,75.9
44,33,3,7.5,103.1,14,2,1.4,32.2,23.8,118.0
26,2,1,7.1,100.4,10,5,1.25,39.8,34.6,21.2
32,16,3,4.0,42.1,17,5,1.35,57.6,32.4,32.9
6,4,3,6.4,105.1,17,4,1.0,90.9,19.4,14.6
32,8,3,6.3,74.6,14,2,1.25,7.1,35.7,20.5
55,55,3,5.9,86.1,17,1,0.95,50.3,41.4,107.9
4,2,6,7.9,97.2,17,0,0.9,69.0,28.9,9.0
55,34,3,8.5,36.7,12,4,1.25,29.7,27.2,137.0
11,9,4,10.7,43.5,16,4,0.9,14.0,42.5,21.9
56,45,5,8.1,53.2,13,0,1.25,67.1,41.0,112.3
59,6,3,4.9,68.2,14,4,1.0,78.3,38.8,10.9
17,6,1,6.9,57.7,11,4,1.4,78.7,26.8,62.6
38,32,1,8.9,70.5,9,4,1.1,46.0,37.3,310.7
24,9,4,7.9,44.9,11,2,1.25,32.3,34.0,27.1
5,3,2,9.3,84.6,16,2,1.4,30.3,43.0,16.8
52,39,3,7.2,34.5,10,3,1.25,9.7,35.3,138.4
34,31,2,9.7,58.9,14,3,1.05,26.2,41.5,161.6
6,2,2,8.4,44.3,11,2,0.95,99.1,26.3,13.1
22,10,3,8.4,88.4,10,4,1.4,5.4,25.2,42.6
11,9,6,8.2,100.7,12,1,0.9,10.0,48.7,18.6
48,18,3,6.9,36.3,9,0,1.4,19.6,51.2,60.8
16,12,5,7.9,92.8,17,3,1.1,53.3,37.3,26.8
33,24,6,8.4,101.7,11,4,0.95,43.4,42.3,46.2
9,4,2,5.9,107.9,14,3,1.4,25.5,36.6,21.9
59,9,3,8.1,76.4,9,5,1.35,17.8,55.2,26.6
6,4,4,9.8,56.2,17,1,1.1,113.0,39.6,16.1
16,15,5,8.7,55.8,13,5,1.1,109.8,36.0,40.8
29,8,3,10.1,60.3,12,4,1.4,93.8,53.6,46.0
3,1,6,8.6,79.0,10,2,0.95,34.0,32.7,7.3
20,13,1,6.7,69.2,12,1,1.35,42.2,43.9,130.1
59,9,2,9.2,82.3,17,3,1.1,81.6,29.4,47.9
36,26,3,6.3,33.1,14,4,1.1,38.5,50.0,64.7
19,4,3,7.7,38.5,10,5,1.05,66.0,51.8,21.7
26,17,2,7.6,108.1,15,4,0.9,79.9,26.5,69.2
3,3,3,7.0,109.6,14,0,1.35,64.7,24.7,20.5
19,3,1,11.6,89.7,11,0,0.95,52.5,45.5,33.0
20,20,3,7.9,50.5,12,5,1.0,45.0,65.3,61.0
32,5,5,10.7,106.3,17,0,0.95,94.4,52.6,23.5
7,7,5,8.5,47.1,11,2,0.9,90.0,39.5,21.0
52,5,4,6.8,88.5,9,4,1.0,85.1,31.7,15.7
41,20,3,7.4,39.2,16,4,1.0,48.1,27.4,53.7
33,15,3,7.9,81.9,8,3,0.9,94.2,50.6,42.9
40,18,2,7.5,90.8,15,2,1.1,115.1,53.1,78.2
39,2,3,7.6,98.8,11,0,1.05,84.2,34.4,15.1
18,13,2,8.9,88.7,16,4,1.35,51.9,39.0,76.8
40,4,4,8.5,103.9,10,0,0.9,96.6,42.6,13.6
1,1,5,9.0,71.7,14,1,1.1,75.1,63.8,4.8
11,10,3,10.3,84.2,10,2,0.9,105.9,42.8,40.7
28,13,4,7.3,59.6,17,0,0.95,87.0,30.2,28.1
57,10,2,9.7,30.8,14,2,0.9,93.5,28.1,47.0
25,9,3,10.1,90.5,9,5,0.95,81.8,31.1,30.4
50,8,4,9.9,99.6,10,4,1.05,15.6,57.2,29.2
23,3,3,5.4,43.9,15,1,1.25,60.8,48.2,9.3
31,16,2,10.7,32.3,14,3,1.4,11.5,37.9,118.1
30,14,5,7.0,43.2,10,1,0.9,56.5,10.0,22.7
42,9,4,5.2,101.6,15,2,1.4,87.4,31.8,23.5
35,30,5,10.7,53.6,16,1,1.1,53.4,46.1,72.8
7,5,4,8.8,48.7,9,4,0.95,5.2,46.2,13.0
16,11,6,8.8,31.2,9,2,1.25,47.5,46.1,24.2
26,3,2,7.5,53.8,14,2,1.05,12.8,25.8,13.7
48,37,2,8.3,87.3,15,4,0.95,94.8,44.1,152.5
57,42,3,7.8,106.7,12,5,1.25,95.1,30.3,169.9
52,13,2,7.1,55.0,9,0,1.0,97.7,42.0,51.2
49,36,3,8.0,49.3,17,3,1.35,8.5,32.8,127.8
2,2,3,8.2,101.0,12,5,1.35,8.7,54.8,14.2
1,1,3,6.0,98.2,10,5,0.95,108.9,46.0,14.3
48,13,2,8.1,56.3,16,1,1.05,19.2,40.3,56.2
12,12,5,5.3,35.5,9,5,1.35,82.1,58.6,27.0
5,5,1,10.9,109.4,16,3,1.05,96.5,37.5,59.6
37,10,3,7.8,84.5,9,3,1.4,56.5,25.0,36.1
32,28,4,6.4,104.1,8,5,1.25,67.8,54.7,63.5
59,56,4,8.8,57.3,17,4,1.1,31.1,45.0,137.6
55,9,3,6.9,81.8,13,0,1.0,111.2,38.2,28.7
9,4,1,8.0,84.0,13,3,1.25,39.7,34.3,38.6
41,7,3,8.7,99.8,11,2,1.1,30.0,48.1,28.2
35,2,2,6.5,109.4,9,5,1.4,65.4,51.8,20.3
19,7,2,10.9,38.7,17,0,1.1,26.9,32.8,37.7
48,40,4,11.1,80.5,10,4,1.1,84.0,48.8,142.7
16,16,3,7.2,56.9,13,5,1.35,64.2,45.0,65.1
3,3,3,6.3,94.9,11,3,1.35,22.0,32.0,12.0
20,14,3,7.2,90.3,12,5,0.95,12.7,42.0,39.9
24,19,6,7.3,101.4,16,4,1.1,20.7,35.4,31.4
54,5,6,9.7,57.5,12,1,0.9,20.7,56.9,13.3
56,55,3,7.2,44.8,17,4,1.05,41.0,34.2,140.8
33,31,2,6.3,31.7,15,2,1.25,100.8,60.1,121.0
24,18,3,8.2,50.4,9,4,1.1,11.6,43.6,54.4
52,20,2,5.8,59.4,13,0,0.95,19.7,21.1,60.8
11,7,3,9.6,105.7,13,1,1.0,39.8,15.9,32.5
49,17,3,8.9,69.3,12,5,0.9,68.6,39.5,53.9
8,5,3,7.1,74.5,13,5,1.1,92.7,58.0,17.3
36,2,3,7.3,100.4,12,2,1.1,110.9,56.8,17.8
38,25,2,8.4,100.8,9,1,1.05,52.4,44.0,116.0
40,13,3,6.3,72.2,12,2,1.25,17.2,33.2,37.9
20,7,3,6.8,39.1,8,5,1.35,29.6,37.0,24.4
35,28,3,7.7,51.6,10,1,0.95,38.0,44.5,81.6
48,42,4,6.0,66.6,14,3,0.95,95.4,55.0,61.7
25,23,3,7.3,90.1,11,4,1.35,84.0,48.8,92.2
35,6,3,6.4,86.9,15,0,0.9,29.0,53.6,18.1
25,3,3,10.1,81.4,10,0,1.1,101.5,49.7,15.8
29,26,2,7.4,100.4,14,3,1.1,103.8,53.3,111.9
18,3,1,6.6,94.2,9,1,1.4,106.5,14.9,26.5
46,18,3,9.0,108.6,15,4,1.0,36.6,31.3,63.2
18,11,2,7.1,101.1,10,3,1.0,20.4,28.7,48.3
2,2,4,6.3,45.7,13,1,1.25,17.0,27.6,7.0
54,20,4,9.3,34.6,9,4,1.35,51.0,42.1,64.9
35,5,5,7.5,63.2,14,1,0.9,54.4,24.6,17.7
16,3,6,9.3,79.4,11,0,1.05,104.8,30.7,11.5
41,22,1,8.0,81.4,13,4,1.05,35.8,40.8,210.5
36,19,6,8.2,51.4,9,0,1.1,77.1,22.8,35.5
33,16,4,8.8,98.8,10,0,1.35,95.6,36.2,55.5
4,4,3,7.0,56.3,10,4,0.95,36.0,49.7,13.3
33,24,1,6.8,103.5,11,3,1.35,35.7,27.3,249.2
14,9,5,9.8,67.7,8,1,0.95,82.0,51.6,25.3
21,4,2,8.9,30.8,13,4,1.05,88.5,32.3,21.0
48,15,4,7.9,43.0,13,5,0.9,115.4,45.3,38.4
20,12,1,9.2,38.2,11,0,1.25,102.7,28.7,156.2
56,55,3,8.8,33.5,15,1,1.35,99.5,47.4,223.1
8,3,3,9.4,87.1,12,4,1.4,84.6,38.4,18.1
7,7,2,6.3,45.4,17,3,1.25,18.6,47.6,27.9
3,2,2,7.9,97.1,11,4,1.0,98.1,35.5,14.3
17,17,3,9.7,51.2,14,4,1.35,112.6,48.7,75.0
33,19,2,10.5,32.6,17,2,1.4,49.9,52.2,140.0
48,38,3,7.2,95.7,17,5,1.1,41.1,43.4,108.4
12,4,3,8.2,67.3,15,1,1.25,65.1,36.2,15.7
59,7,4,8.0,78.0,9,4,0.9,115.0,39.2,19.4
51,30,4,6.1,56.9,8,0,0.9,10.8,26.8,44.2
22,19,2,7.6,33.7,13,0,1.0,86.5,44.4,87.2
55,49,3,5.6,59.6,9,2,1.0,98.7,49.5,97.1
22,16,2,7.7,71.5,15,0,1.05,95.7,60.8,65.5
46,40,5,6.4,30.9,12,4,1.0,70.2,57.7,62.7
30,19,5,8.3,75.9,9,1,1.35,110.9,30.3,42.8
38,8,3,7.5,101.4,12,2,1.35,20.5,44.5,37.6
38,18,2,7.5,47.4,9,5,1.35,33.2,40.4,93.5
45,28,5,10.3,104.1,13,2,1.35,40.3,56.6,96.8
51,16,5,8.1,37.8,15,3,1.0,6.0,33.5,26.1
54,52,5,10.8,96.0,9,3,1.1,47.6,52.5,129.5
8,3,4,8.7,97.2,13,1,1.4,23.5,30.2,14.5
27,10,3,9.2,50.6,13,1,1.05,88.3,40.7,40.2
